@RELATION pixels
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@DATA
16,101
16,102
17,87
17,88
17,101
17,102
18,80
18,81
18,87
18,88
18,104
18,105
19,80
19,81
19,102
19,103
19,104
19,105
19,115
19,116
20,97
20,98
20,102
20,103
20,115
20,116
21,97
21,98
21,108
21,109
22,75
22,76
22,93
22,94
22,101
22,102
22,108
22,109
23,75
23,76
23,80
23,81
23,88
23,89
23,93
23,94
23,101
23,102
24,64
24,65
24,76
24,77
24,80
24,81
24,88
24,89
24,104
24,105
24,107
24,108
24,124
24,125
25,64
25,65
25,76
25,77
25,104
25,105
25,107
25,108
25,109
25,124
25,125
25,126
25,127
26,85
26,86
26,89
26,90
26,107
26,108
26,109
26,114
26,115
26,126
26,127
27,85
27,86
27,89
27,90
27,107
27,108
27,114
27,115
27,125
27,126
28,69
28,70
28,77
28,78
28,101
28,102
28,114
28,115
28,117
28,118
28,125
28,126
28,130
28,131
29,69
29,70
29,77
29,78
29,94
29,95
29,101
29,102
29,108
29,109
29,113
29,114
29,117
29,118
29,130
29,131
30,64
30,65
30,94
30,95
30,108
30,109
30,113
30,114
31,64
31,65
31,84
31,85
31,91
31,92
31,94
31,95
31,128
31,129
32,84
32,85
32,90
32,91
32,92
32,94
32,95
32,128
32,129
33,53
33,54
33,58
33,59
33,90
33,91
34,53
34,54
34,58
34,59
34,98
34,99
34,135
34,136
35,49
35,50
35,58
35,59
35,98
35,99
35,113
35,114
35,135
35,136
36,49
36,50
36,58
36,59
36,61
36,62
36,68
36,69
36,81
36,82
36,113
36,114
36,136
36,137
37,61
37,62
37,68
37,69
37,81
37,82
37,116
37,117
37,136
37,137
38,58
38,59
38,116
38,117
38,131
38,132
39,44
39,45
39,55
39,56
39,58
39,59
39,61
39,62
39,78
39,79
39,80
39,81
39,84
39,85
39,128
39,129
39,130
39,131
39,132
39,144
39,145
40,44
40,45
40,55
40,56
40,61
40,62
40,78
40,79
40,80
40,81
40,84
40,85
40,100
40,101
40,105
40,106
40,128
40,129
40,130
40,144
40,145
41,44
41,45
41,61
41,62
41,83
41,84
41,88
41,89
41,100
41,101
41,105
41,106
41,129
41,130
42,44
42,45
42,53
42,54
42,56
42,57
42,73
42,74
42,83
42,84
42,85
42,86
42,88
42,89
42,92
42,93
42,128
42,129
42,130
43,43
43,44
43,53
43,54
43,56
43,57
43,58
43,73
43,74
43,83
43,84
43,85
43,86
43,92
43,93
43,121
43,122
43,125
43,126
43,128
43,129
44,43
44,44
44,54
44,55
44,57
44,58
44,121
44,122
44,125
44,126
44,131
44,132
45,54
45,55
45,80
45,81
45,87
45,88
45,92
45,93
45,112
45,113
45,122
45,123
45,125
45,126
45,131
45,132
46,49
46,50
46,80
46,81
46,86
46,87
46,88
46,92
46,93
46,112
46,113
46,122
46,123
46,125
46,126
46,127
47,49
47,50
47,86
47,87
47,126
47,127
47,141
47,142
48,63
48,64
48,71
48,72
48,73
48,74
48,100
48,101
48,102
48,103
48,104
48,119
48,120
48,121
48,122
48,125
48,126
48,141
48,142
48,150
48,151
49,39
49,40
49,62
49,63
49,64
49,71
49,72
49,73
49,74
49,98
49,99
49,100
49,101
49,102
49,103
49,104
49,119
49,120
49,121
49,122
49,125
49,126
49,127
49,128
49,150
49,151
50,39
50,40
50,62
50,63
50,75
50,76
50,85
50,86
50,98
50,99
50,121
50,122
50,123
50,127
50,128
51,39
51,40
51,75
51,76
51,85
51,86
51,93
51,94
51,107
51,108
51,122
51,123
51,124
51,125
52,74
52,75
52,83
52,84
52,93
52,94
52,107
52,108
52,124
52,125
52,137
52,138
53,73
53,74
53,75
53,83
53,84
53,94
53,95
53,137
53,138
53,147
53,148
53,151
53,152
53,153
54,55
54,56
54,64
54,65
54,73
54,74
54,94
54,95
54,136
54,137
54,147
54,148
54,151
54,152
54,153
55,55
55,56
55,64
55,65
55,71
55,72
55,73
55,74
55,92
55,93
55,136
55,137
56,34
56,35
56,69
56,70
56,71
56,72
56,90
56,91
56,92
56,93
56,101
56,102
56,119
56,120
56,151
56,152
57,34
57,35
57,54
57,55
57,58
57,59
57,69
57,70
57,90
57,91
57,92
57,93
57,101
57,102
57,110
57,111
57,119
57,120
57,135
57,136
57,142
57,143
57,151
57,152
58,54
58,55
58,58
58,59
58,72
58,73
58,92
58,93
58,94
58,103
58,104
58,105
58,106
58,110
58,111
58,119
58,120
58,129
58,130
58,135
58,136
58,142
58,143
59,72
59,73
59,77
59,78
59,89
59,90
59,93
59,94
59,96
59,97
59,103
59,104
59,105
59,106
59,113
59,114
59,129
59,130
59,153
59,154
60,71
60,72
60,73
60,74
60,77
60,78
60,89
60,90
60,96
60,97
60,113
60,114
60,122
60,123
60,141
60,142
60,153
60,154
61,71
61,72
61,73
61,74
61,93
61,94
61,96
61,97
61,98
61,99
61,102
61,103
61,104
61,105
61,115
61,116
61,122
61,123
61,130
61,131
61,141
61,142
61,156
61,157
62,52
62,53
62,64
62,65
62,72
62,73
62,93
62,94
62,95
62,96
62,97
62,98
62,99
62,102
62,103
62,104
62,105
62,115
62,116
62,130
62,131
62,151
62,152
62,156
62,157
63,44
63,45
63,52
63,53
63,64
63,65
63,67
63,68
63,72
63,73
63,94
63,95
63,108
63,109
63,126
63,127
63,142
63,143
63,151
63,152
63,157
63,158
64,44
64,45
64,49
64,50
64,51
64,67
64,68
64,73
64,74
64,86
64,87
64,108
64,109
64,126
64,127
64,138
64,139
64,142
64,143
64,157
64,158
65,49
65,50
65,51
65,64
65,65
65,73
65,74
65,86
65,87
65,88
65,89
65,138
65,139
65,148
65,149
65,150
66,64
66,65
66,88
66,89
66,95
66,96
66,146
66,147
66,148
66,149
66,150
66,158
66,159
67,67
67,68
67,95
67,96
67,99
67,100
67,146
67,147
67,158
67,159
68,38
68,39
68,67
68,68
68,99
68,100
68,106
68,107
68,129
68,130
68,147
68,148
69,38
69,39
69,106
69,107
69,110
69,111
69,129
69,130
69,144
69,145
69,147
69,148
70,36
70,37
70,51
70,52
70,89
70,90
70,103
70,104
70,110
70,111
70,126
70,127
70,144
70,145
71,36
71,37
71,51
71,52
71,66
71,67
71,89
71,90
71,100
71,101
71,103
71,104
71,110
71,111
71,116
71,117
71,126
71,127
71,153
71,154
72,66
72,67
72,79
72,80
72,100
72,101
72,110
72,111
72,116
72,117
72,153
72,154
73,73
73,74
73,79
73,80
73,94
73,95
73,159
73,160
74,33
74,34
74,39
74,40
74,57
74,58
74,73
74,74
74,82
74,83
74,94
74,95
74,114
74,115
74,118
74,119
74,120
74,121
74,132
74,133
74,147
74,148
74,159
74,160
75,33
75,34
75,39
75,40
75,57
75,58
75,73
75,74
75,82
75,83
75,98
75,99
75,110
75,111
75,114
75,115
75,118
75,119
75,120
75,121
75,125
75,126
75,132
75,133
75,134
75,135
75,143
75,144
75,147
75,148
76,57
76,58
76,98
76,99
76,107
76,108
76,110
76,111
76,125
76,126
76,134
76,135
76,143
76,144
76,153
76,154
77,66
77,67
77,69
77,70
77,82
77,83
77,107
77,108
77,135
77,136
77,152
77,153
77,154
78,66
78,67
78,69
78,70
78,82
78,83
78,107
78,108
78,123
78,124
78,133
78,134
78,135
78,136
78,150
78,151
78,152
78,153
79,94
79,95
79,107
79,108
79,118
79,119
79,123
79,124
79,133
79,134
79,150
79,151
80,70
80,71
80,94
80,95
80,97
80,98
80,105
80,106
80,118
80,119
80,140
80,141
81,46
81,47
81,48
81,49
81,58
81,59
81,70
81,71
81,92
81,93
81,97
81,98
81,105
81,106
81,140
81,141
82,36
82,37
82,46
82,47
82,48
82,49
82,56
82,57
82,58
82,59
82,92
82,93
82,105
82,106
82,110
82,111
82,114
82,115
82,138
82,139
82,141
82,142
83,36
83,37
83,42
83,43
83,56
83,57
83,105
83,106
83,110
83,111
83,112
83,114
83,115
83,116
83,117
83,138
83,139
83,141
83,142
84,42
84,43
84,50
84,51
84,54
84,55
84,111
84,112
84,116
84,117
84,128
84,129
84,145
84,146
85,41
85,42
85,50
85,51
85,54
85,55
85,56
85,62
85,63
85,105
85,106
85,128
85,129
85,145
85,146
85,150
85,151
85,152
86,30
86,31
86,41
86,42
86,43
86,55
86,56
86,62
86,63
86,96
86,97
86,105
86,106
86,122
86,123
86,128
86,129
86,150
86,151
86,152
87,30
87,31
87,33
87,34
87,42
87,43
87,50
87,51
87,60
87,61
87,66
87,67
87,68
87,96
87,97
87,98
87,99
87,111
87,112
87,122
87,123
87,124
87,125
87,128
87,129
88,33
88,34
88,50
88,51
88,60
88,61
88,66
88,67
88,68
88,81
88,82
88,98
88,99
88,111
88,112
88,114
88,115
88,118
88,119
88,122
88,123
88,124
88,125
89,62
89,63
89,81
89,82
89,114
89,115
89,118
89,119
89,120
89,156
89,157
90,51
90,52
90,58
90,59
90,62
90,63
90,119
90,120
90,139
90,140
90,156
90,157
91,48
91,49
91,51
91,52
91,56
91,57
91,58
91,59
91,62
91,63
91,80
91,81
91,111
91,112
91,121
91,122
91,127
91,128
91,139
91,140
91,143
91,144
92,31
92,32
92,48
92,49
92,56
92,57
92,62
92,63
92,65
92,66
92,80
92,81
92,111
92,112
92,120
92,121
92,122
92,127
92,128
92,136
92,137
92,143
92,144
93,31
93,32
93,46
93,47
93,65
93,66
93,70
93,71
93,75
93,76
93,84
93,85
93,120
93,121
93,136
93,137
93,153
93,154
93,158
93,159
94,46
94,47
94,64
94,65
94,70
94,71
94,75
94,76
94,84
94,85
94,95
94,96
94,97
94,116
94,117
94,137
94,138
94,153
94,154
94,158
94,159
95,41
95,42
95,64
95,65
95,84
95,85
95,95
95,96
95,97
95,112
95,113
95,116
95,117
95,137
95,138
95,157
95,158
96,38
96,39
96,41
96,42
96,112
96,113
96,128
96,129
96,135
96,136
96,157
96,158
97,33
97,34
97,38
97,39
97,61
97,62
97,66
97,67
97,80
97,81
97,97
97,98
97,123
97,124
97,128
97,129
97,135
97,136
97,138
97,139
98,33
98,34
98,46
98,47
98,48
98,53
98,54
98,61
98,62
98,66
98,67
98,76
98,77
98,78
98,79
98,80
98,81
98,97
98,98
98,123
98,124
98,138
98,139
98,141
98,142
98,146
98,147
99,36
99,37
99,44
99,45
99,46
99,47
99,48
99,53
99,54
99,72
99,73
99,76
99,77
99,78
99,79
99,80
99,81
99,82
99,94
99,95
99,100
99,101
99,134
99,135
99,138
99,139
99,141
99,142
99,146
99,147
99,154
99,155
100,36
100,37
100,44
100,45
100,49
100,50
100,72
100,73
100,76
100,77
100,80
100,81
100,82
100,86
100,87
100,94
100,95
100,100
100,101
100,112
100,113
100,134
100,135
100,141
100,142
100,154
100,155
100,157
100,158
101,49
101,50
101,64
101,65
101,81
101,82
101,86
101,87
101,112
101,113
101,138
101,139
101,141
101,142
101,154
101,155
101,156
101,157
101,158
102,48
102,49
102,63
102,64
102,65
102,137
102,138
102,139
102,144
102,145
102,154
102,155
102,156
102,157
103,48
103,49
103,63
103,64
103,65
103,91
103,92
103,117
103,118
103,129
103,130
103,137
103,138
103,140
103,141
103,144
103,145
103,157
103,158
104,64
104,65
104,69
104,70
104,72
104,73
104,74
104,75
104,91
104,92
104,105
104,106
104,117
104,118
104,129
104,130
104,140
104,141
104,146
104,147
104,157
104,158
105,43
105,44
105,69
105,70
105,72
105,73
105,74
105,75
105,76
105,105
105,106
105,111
105,112
105,117
105,118
105,131
105,132
105,143
105,144
105,146
105,147
106,43
106,44
106,62
106,63
106,75
106,76
106,91
106,92
106,104
106,105
106,109
106,110
106,111
106,112
106,113
106,115
106,116
106,117
106,118
106,127
106,128
106,131
106,132
106,133
106,134
106,143
106,144
107,62
107,63
107,91
107,92
107,104
107,105
107,109
107,110
107,112
107,113
107,115
107,116
107,127
107,128
107,133
107,134
108,61
108,62
108,100
108,101
108,112
108,113
108,121
108,122
109,61
109,62
109,100
109,101
109,103
109,104
109,112
109,113
109,121
109,122
109,124
109,125
109,128
109,129
109,133
109,134
109,138
109,139
109,154
109,155
110,47
110,48
110,60
110,61
110,92
110,93
110,103
110,104
110,124
110,125
110,128
110,129
110,133
110,134
110,138
110,139
110,154
110,155
111,40
111,41
111,43
111,44
111,47
111,48
111,60
111,61
111,88
111,89
111,92
111,93
111,95
111,96
111,97
111,103
111,104
111,123
111,124
111,139
111,140
112,40
112,41
112,43
112,44
112,50
112,51
112,88
112,89
112,90
112,91
112,92
112,95
112,96
112,97
112,103
112,104
112,105
112,108
112,109
112,123
112,124
112,139
112,140
113,50
113,51
113,56
113,57
113,90
113,91
113,92
113,104
113,105
113,108
113,109
113,117
113,118
113,147
113,148
114,56
114,57
114,62
114,63
114,86
114,87
114,117
114,118
114,129
114,130
114,147
114,148
115,62
115,63
115,86
115,87
115,104
115,105
115,116
115,117
115,129
115,130
115,149
115,150
116,53
116,54
116,62
116,63
116,69
116,70
116,82
116,83
116,88
